# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.00500000  40  787.55986776675036  4.4874981145143684E+003  5.0809188220813559E+002  4.9955899967225041E+003  -4.4461444213393588E+003  -5.3428327983993483E+001  2.1954518757425430E+002  -1.3356579334435999E+001  2.0618860823981825E+002  7.0220585563896987E+002  1.6664130040319378E+000   -1.3306822592550679E+002  -4.1622180219149750E-007  1.1205188686019569E+003  4.1904808907670564E+001  -1.0076538751090594E+002  0.0000000000000000E+000  -3.3703419880994872E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6011686122999890E+003  1.9347262443971109E+000  5.2704277525159222E-003  2.2970083163969799E-003  2.6682747884083795E-006  7.5701043437013098E-003
  0.00500000  42  826.79802615292010  4.7157761387269966E+003  5.3334714232509577E+002  5.2491232810520924E+003  -4.6790853661833662E+003  -5.5121882980652735E+001  2.3809688643585073E+002  -1.4033012709458355E+001  2.2406387372639250E+002  7.3897990561446693E+002  4.6738380997885542E+000   -1.3962602787217921E+002  -1.2602076541404146E+000  1.1766090593580370E+003  4.5411427206092597E+001  -1.0930750313438145E+002  0.0000000000000000E+000  -3.2946635417997200E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6826220856176797E+003  1.9367241118942147E+000  5.2725715014456899E-003  2.2975013189354592E-003  2.6688474235635665E-006  7.5727416678047126E-003
  0.00500000  44  866.16408166860231  4.9448238354757159E+003  5.5853878277405613E+002  5.5033626182497719E+003  -4.9124938254513636E+003  -5.6777145966040891E+001  2.5722604605338586E+002  -1.4708882752869666E+001  2.4251716330051613E+002  7.7660881013288963E+002  6.0051729193637584E+000   -1.4621600695334820E+002  -1.8460094342774380E+000  1.2326404879247896E+003  4.9026828098112951E+001  -1.1811982071667887E+002  0.0000000000000000E+000  -3.3295944025059100E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.7636763699708479E+003  1.9377565051089050E+000  5.2747294077928122E-003  2.2975190882717064E-003  2.6688680631055042E-006  7.5749173641276243E-003
  0.00500000  46  904.84981683090814  5.1718099580537410E+003  5.8367810521437275E+002  5.7554880632681134E+003  -5.1456151916733206E+003  -5.8397562349186110E+001  2.7692486008787984E+002  -1.5384315422479885E+001  2.6154054466540009E+002  8.1301585391100662E+002  5.7463839837912474E+000   -1.5267128033006361E+002  -1.7661902146872557E+000  1.2889846776187217E+003  5.2764044362164249E+001  -1.2723313474748306E+002  0.0000000000000000E+000  -3.3617894243494348E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.8428525765834477E+003  1.9380372386405644E+000  5.2754032769380156E-003  2.2997275793362288E-003  2.6714332823300923E-006  7.5778022895565747E-003
  0.00500000  48  943.02259741969203  5.3969256141711376E+003  6.0876774234273398E+002  6.0056933565138715E+003  -5.3784552887060108E+003  -5.9984869786005305E+001  2.9718375643610887E+002  -1.6059327868723507E+001  2.8112442856738539E+002  8.4837762658924009E+002  4.0477152105027017E+000   -1.5900733004056011E+002  -1.1376392994296911E+000  1.3455653656914199E+003  5.6619369906598095E+001  -1.3663852738081172E+002  0.0000000000000000E+000  -3.3916072256179888E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.9202741166769565E+003  1.9376693545394017E+000  5.2751062782585073E-003  2.3033440970739900E-003  2.6756339605425443E-006  7.5811260092930400E-003
  0.00500000  50  979.22518008259294  5.6154312250573694E+003  6.3382034132994215E+002  6.2492515663873119E+003  -5.6097776365461623E+003  -6.1541482065425271E+001  3.1799676200326604E+002  -1.6734069629889945E+001  3.0126269237337601E+002  8.7919514014910112E+002  9.9667390621061713E-001   -1.6495116214704436E+002  -5.1388630318981748E-007  1.4030569151714619E+003  6.0620692620156476E+001  -1.4640230225984655E+002  0.0000000000000000E+000  -3.2843654657971229E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.9933988069261511E+003  1.9367956065411300E+000  5.2714270088189451E-003  2.3125699273101306E-003  2.6863499979053029E-006  7.5866832861269818E-003
  0.00500000  52  1022.8732248595581  5.8603004514929517E+003  6.5872004884568310E+002  6.5190205003386345E+003  -5.8482513941789321E+003  -6.3064129473700390E+001  3.3932514835065433E+002  -1.7407015193212310E+001  3.2191813315744218E+002  9.2962310984344197E+002  4.6478138986240083E+000   -1.7238916840053278E+002  -9.9248099822278302E-001  1.4571133351203091E+003  6.4580263619613717E+001  -1.5607700111646403E+002  0.0000000000000000E+000  -3.1759469405206993E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.0858240359667675E+003  1.9405302762460266E+000  5.2801553603051988E-003  2.2997289519656205E-003  2.6714348766744316E-006  7.5825557471474936E-003
  0.00500000  54  1063.5724618904042  6.0949770405948047E+003  6.8359768469565563E+002  6.7785747252904603E+003  -6.0842275759895138E+003  -6.4560139722344331E+001  3.6119333063216556E+002  -1.8079855743892654E+001  3.4311347488827295E+002  9.7290048446687172E+002  6.4812107130210279E+000   -1.7923174617435001E+002  -1.2793739898816965E+000  1.5125320742451950E+003  6.8699655642976921E+001  -1.6614254363098922E+002  0.0000000000000000E+000  -3.2081042373723150E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.1717132392728422E+003  1.9432415465918049E+000  5.2835468279505398E-003  2.2960035124885560E-003  2.6671076827535565E-006  7.5822174481218500E-003
  0.00500000  56  1104.9265748327275  6.3322626253791759E+003  7.0840534307091286E+002  7.0406679684500887E+003  -6.3210740040805595E+003  -6.6028663758649188E+001  3.8358051409063961E+002  -1.8751956134353762E+001  3.6482855795628575E+002  1.0183938585671623E+003  6.6308025456683026E+000   -1.8620743417091401E+002  -9.3606453881772789E-001  1.5676515969460395E+003  7.2906085312674819E+001  -1.7642536277436659E+002  0.0000000000000000E+000  -3.2381300804155785E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.2582022738874457E+003  1.9451071521342880E+000  5.2876219628826765E-003  2.2908293292593250E-003  2.6610977351185251E-006  7.5811123898771203E-003
  0.00500000  58  1144.5749636986250  6.5634505357779080E+003  7.3318125277523927E+002  7.2966317885531471E+003  -6.5564740060009071E+003  -6.7473061726198637E+001  4.0648939530000774E+002  -1.9423805699399757E+001  3.8706558960060829E+002  1.0597503104266520E+003  5.1926510232328837E+000  -1.9282657659204213E+002  -7.9847058669085689E-007  1.6235536115959264E+003  7.7247973835250775E+001  -1.8704092821674209E+002  0.0000000000000000E+000  -3.2103783524995201E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.3405011472738065E+003  1.9462413719931329E+000  5.2889190586457597E-003  2.2903550317560839E-003  2.6605468262716037E-006  7.5819346372281151E-003
  0.00500000  60  1189.8249330102421  6.8147732025947762E+003  7.5782392605889015E+002  7.5725971286536660E+003  -6.7973458779745015E+003  -6.8889540607412542E+001  4.2988410497285338E+002  -2.0094061687787161E+001  4.0979004328506613E+002  1.1161517533568169E+003  6.9504925190249196E+000   -2.0058194692489602E+002  -7.4278572604112458E-001  1.6768978905964077E+003  8.1566979529021481E+001  -1.9761090141062590E+002  0.0000000000000000E+000  -3.1680001283244877E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.4356909019397071E+003  1.9487635517097721E+000  5.2978620136180238E-003  2.2762373213551282E-003  2.6441487372488848E-006  7.5767434837104011E-003
