# rho_B   Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.0013  40  380.07977769106338  2.3078250038177985E+003  5.5295713547322907E+002  2.8607821392910273E+003  -3.6625373143936699E+003  -5.4719736976456865E+001  2.2906988307245126E+002  -1.3926090256327633E+001  2.1514379281612358E+002  -6.4133111926297613E+002  1.7528670921331013E+000   -2.2700349867415813E+001  -2.9482905049812668E-007  8.9253948843640069E+002  3.3525743608454022E+001  -8.0853671700638159E+001  0.0000000000000000E+000  -2.7776773811164148E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.5163923801112071E+002  3.6097723828635914E-001  4.9930663340025502E-004  9.4125346576503415E-004  1.0934993892836840E-006  1.4416535985545729E-003
  0.0013  42  397.17761119025351  2.4254074478913330E+003  5.8059200800211761E+002  3.0059994558934504E+003  -3.8571466429727993E+003  -5.6487390216118726E+001  2.4846134388896743E+002  -1.4633402133019414E+001  2.3382794175594793E+002  -6.7380663553951933E+002  4.7184026814275057E+000   -2.3613908124043814E+001  -1.4200379046241851E+000  9.3855058792060265E+002  3.6381836200501489E+001  -8.7828947886536184E+001  0.0000000000000000E+000  -2.7063687930114909E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6012289134780181E+002  3.6459711803982886E-001  4.9799664718527510E-004  9.4670524588773058E-004  1.0998320924841246E-006  1.4458017251654900E-003
  0.0013  44  418.51371216758463  2.5495688798031911E+003  6.0808168456514545E+002  3.1576505643683367E+003  -4.0535617452174265E+003  -5.8214436883881071E+001  2.6844080599198713E+002  -1.5339193162138818E+001  2.5310161282984839E+002  -7.0102400490312493E+002  5.8122530774455754E+000   -2.4869134447953211E+001  -2.0010670501388637E+000  9.8148521652624220E+002  3.9209626976774906E+001  -9.4744915507356822E+001  0.0000000000000000E+000  -2.7427222205730985E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6944488267188387E+002  3.6635645217433105E-001  5.0030566697633824E-004  9.4009767148598399E-004  1.0921568362510549E-006  1.4414954952985733E-003
  0.0013  46  435.73537164728532  2.6677646905304769E+003  6.3559659741340431E+002  3.3033612879438811E+003  -4.2489003696834679E+003  -5.9905085614833801E+001  2.8903478296392780E+002  -1.6045562608662532E+001  2.7298922035526539E+002  -7.3245494699915685E+002  5.2266739307660828E+000   -2.5787914988416421E+001  -1.9018766668158691E+000  1.0274043238342326E+003  4.2240994540578392E+001  -1.0215679255450229E+002  0.0000000000000000E+000  -2.7765588906174472E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.7658268309668171E+002  3.6655536107448039E-001  4.9915209608955157E-004  9.4478920783687447E-004  1.0976064527068752E-006  1.4450389103791328E-003
  0.0013  48  453.84794125907115  2.7874949734691691E+003  6.6303581299713687E+002  3.4505307864663059E+003  -4.4448517579372819E+003  -6.1560525487064766E+001  3.1021043937634613E+002  -1.6751235135394808E+001  2.9345920424095135E+002  -7.6242229271708663E+002  3.0956204849628648E+000   -2.6776468753153068E+001  -1.2127611300537948E+000  1.0726797355403164E+003  4.5334755414870052E+001  -1.0972629420011212E+002  0.0000000000000000E+000  -2.8082050730595711E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.8341983063974152E+002  3.6548885740056186E-001  4.9875881401139082E-004  9.4687965338513167E-004  1.1000346814845572E-006  1.4467385020780071E-003
  0.0013  50  469.72352240436857  2.9040923797361993E+003  6.9046264145601651E+002  3.5945550211922159E+003  -4.6403506222662727E+003  -6.3183741659278688E+001  3.3197312196962116E+002  -1.7456984885532883E+001  3.1451613708408831E+002  -7.9446320564925065E+002  -4.7339459786508087E-001  -2.7581792957734024E+001  -2.7868548725819666E-007  1.1195937367712570E+003  4.8584412095143406E+001  -1.1767774852587816E+002  0.0000000000000000E+000  -2.6743335909717313E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.8886485685698528E+002  3.6338793594364027E-001  4.9674073948300127E-004  9.5425983305094176E-004  1.1086073794829884E-006  1.4521091799134260E-003
  0.0013  52  492.64035815750299  3.0313982272341468E+003  7.1768642209821417E+002  3.7490846493323611E+003  -4.8385058275419678E+003  -6.4773385570485956E+001  3.5426649901315608E+002  -1.8160414062068448E+001  3.3610608495108738E+002  -8.1808847882900898E+002  4.0351998696983173E+000   -2.8955764735897635E+001  -1.1059552110990629E+000  1.1613627595857522E+003  5.1698681275799593E+001  -1.2531126835506994E+002  0.0000000000000000E+000  -2.5333900041284600E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.0295333760017331E+002  3.7263734602159976E-001  4.9983661486788309E-004  9.4462742631445072E-004  1.0974185298108751E-006  1.4455614597121448E-003
  0.0013  54  517.09429986261489  3.1611978301558238E+003  7.4482337488147482E+002  3.9060212050372984E+003  -5.0374372299747174E+003  -6.6332982568521615E+001  3.7710861171237315E+002  -1.8862959063577801E+001  3.5824565264879533E+002  -8.3950335485714129E+002  6.5264892174197939E+000   -3.0455259222282873E+001  -1.4396376945275298E+000  1.2020553027224851E+003  5.4841323216458605E+001  -1.3301953353763935E+002  0.0000000000000000E+000  -2.5688423949665577E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.1675880784477187E+002  3.7954994104620038E-001  5.0368071546340830E-004  9.3250171933091251E-004  1.0833334910016061E-006  1.4372657682853224E-003
  0.0013  56  538.14055209743890  3.2860803008309381E+003  7.7196860347576126E+002  4.0580489043066991E+003  -5.2354683356743499E+003  -6.7865073221477942E+001  4.0051592851008917E+002  -1.9565796881071517E+001  3.8095013162901779E+002  -8.6433437296011755E+002  7.1285966209266007E+000   -3.1673210399494025E+001  -1.0672043717171875E+000  1.2452197391640775E+003  5.8170157841913166E+001  -1.4118211233803621E+002  0.0000000000000000E+000  -2.6015538279877763E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.2845038555755204E+002  3.8450562707929997E-001  5.0502857301361933E-004  9.2853848641264445E-004  1.0787298564672245E-006  1.4346457892827310E-003
  0.0013  58  558.19036071570224  3.4096479102542689E+003  7.9907584448600949E+002  4.2087237547402783E+003  -5.4334023183669906E+003  -6.9370605061313512E+001  4.2446858258847595E+002  -2.0268338126872855E+001  4.0420024446160318E+002  -8.8984892422642190E+002  5.9179983702629215E+000   -3.2810717274314555E+001  -1.4769309002042648E-006  1.2890992104314619E+003  6.1610017686354695E+001  -1.4961839415045458E+002  0.0000000000000000E+000  -2.5865682923779836E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.3897329535995632E+002  3.8782381321628334E-001  5.0565878812727587E-004  9.2686997606341518E-004  1.0767917383514398E-006  1.4336055559290423E-003
  0.0013  60  578.69438784612134  3.5340572608359244E+003  8.2611960293181903E+002  4.3601768637677433E+003  -5.6317087752406705E+003  -7.0850471064442559E+001  4.4895230561814992E+002  -2.0970252345123530E+001  4.2798205327302657E+002  -9.1440032926434105E+002  7.6131434712992814E+000   -3.3983199905101415E+001  -7.9955699097554078E-001  1.3326565235473079E+003  6.5112671035104313E+001  -1.5821221307528396E+002  0.0000000000000000E+000  -2.5540835351057858E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.5104645881800855E+002  3.9306194573675329E-001  5.0650540846454927E-004  9.2443999954940884E-004  1.0739691114226257E-006  1.4320193771253807E-003
