# rho_B       Z   N                   R_WS                rho_gas_n                rho_liq_n                r_n                 a_n                  gamma_n             rho_gas_p           rho_liq_p                r_p                 a_p                  gamma_p
  0.00725000  40  896.73148019495943  31.361452342106777  5.9993292877414325E-003  0.10081145683737512      6.4820266872015413  0.72696694446041921  1.0000000000000000  0.0000000000000000  4.0452772068096811E-002  6.0687311402303923  0.45778189012445619  1.0000000000000000
  0.00750000  40  934.00675685120143  31.415021816796504  6.2501387761263799E-003  0.10083639923379049      6.4997795632538544  0.72935232917190684  1.0000000000000000  0.0000000000000000  4.0160935020916021E-002  6.0834358182761408  0.45880538606101862  1.0000000000000000
  0.00775000  40  912.65733006602466  30.844812448720273  6.4255039312223353E-003  0.10085428253625922      6.5119693855777498  0.73100579014462763  1.0000000000000000  0.0000000000000000  3.9962291296262831E-002  6.0935209739409739  0.45951915906744867  1.0000000000000000
  0.00800000  40  975.39714457816831  31.175908189787073  6.7110320024686594E-003  0.10087655318136060      6.5317061938111811  0.73363754711867391  1.0000000000000000  0.0000000000000000  3.9640699965755463E-002  6.1099892755413405  0.46068771782192414  1.0000000000000000
  0.00825000  40  939.37145635550883  30.488423018366422  6.8682564547951856E-003  0.10089069753495442      6.5423671813150710  0.73509781770822435  1.0000000000000000  0.0000000000000000  3.9469014104510688E-002  6.1188471608889099  0.46133124039338425  1.0000000000000000
  0.00850000  40  937.36894259850146  30.165949511703410  7.0688444316334056E-003  0.10090519219668866      6.5558421914748397  0.73689906861851728  1.0000000000000000  0.0000000000000000  3.9252101431850414E-002  6.1301117021347320  0.46215065311998960  1.0000000000000000
  0.00875000  40  993.55686861518518  30.437751827318081  7.3506235309957436E-003  0.10092083123691251      6.5746715669858045  0.73940378445889554  1.0000000000000000  0.0000000000000000  3.8949661434137098E-002  6.1459512756133243  0.46331519025822721  1.0000000000000000
  0.00900000  40  964.32569209061944  29.866281305188942  7.5149732272682384E-003  0.10093172198408311      6.5854651431317492  0.74087456214081016  1.0000000000000000  0.0000000000000000  3.8778221663565954E-002  6.1549979713727900  0.46399108848685561  1.0000000000000000
  0.00925000  40  963.51218928044159  29.586761895423372  7.7178139827880190E-003  0.10094201809813937      6.5986586730751213  0.74263263912752253  1.0000000000000000  0.0000000000000000  3.8568752831463861E-002  6.1661217713561918  0.46482707242101284  1.0000000000000000
  0.00950000  40  970.89620439820521  29.396668644627876  7.9329167838501028E-003  0.10095131601556717      6.6125600198331220  0.74448830430304858  1.0000000000000000  0.0000000000000000  3.8348953772654640E-002  6.1778780921130920  0.46571699096997449  1.0000000000000000
  0.00975000  40  1006.4718755247702  29.481174314335036  8.1905285332900743E-003  0.10095958276804071      6.6291190828916466  0.74669388325303920  1.0000000000000000  0.0000000000000000  3.8088123115912136E-002  6.1919422401698991  0.46678996847916449  1.0000000000000000
  0.01000000  40  985.97382891927623  29.041289165968657  8.3645951428891162E-003  0.10096607829049603      6.6400635293966266  0.74815747320125214  1.0000000000000000  0.0000000000000000  3.7917145297065032E-002  6.2012250543902461  0.46751155566456454  1.0000000000000000
  0.01025000  40  985.99538867662147  28.803436860325814  8.5689866019089348E-003  0.10097147908798376      6.6529002018209180  0.74986530316166344  1.0000000000000000  0.0000000000000000  3.7717078121429708E-002  6.2121578496878982  0.46836240619394498  1.0000000000000000
  0.01050000  40  993.35978262248489  28.641200373416535  8.7852254708830849E-003  0.10097577548103617      6.6663748500709747  0.75165586754449698  1.0000000000000000  0.0000000000000000  3.7507827754145601E-002  6.2236716709077582  0.46926664279746966  1.0000000000000000
  0.01075000  40  1047.6660295448230  28.906765346421619  9.0755792596762547E-003  0.10097758935981101      6.6844122025745261  0.75403714857399462  1.0000000000000000  0.0000000000000000  3.7228489375188280E-002  6.2391744121828765  0.47048795308557945  1.0000000000000000
  0.01100000  40  1032.3302361292795  28.550633720519784  9.2580538212130858E-003  0.10097986621175102      6.6954930150403458  0.75550308530213794  1.0000000000000000  0.0000000000000000  3.7058473085750242E-002  6.2486794998429520  0.47125088017240135  1.0000000000000000
