# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                       e/a_t                     p_nucl                   p_e                      p_ex                     p_t
  0.00925000  40  963.51218928044159  6.7172913036822865E+003  4.7292154071143761E+002  7.1902128443937245E+003  -5.3933384797886074E+003  -5.1297994405512476E+001  2.1187435948574102E+002  -1.2891955826687470E+001  1.9898240365905355E+002  1.9445587738586594E+003   1.5062986897805786E+000   -2.0729458203529745E+002  -4.2312550342806731E-007  1.2929698037081309E+003  4.8242323276265900E+001  -1.1565977652654117E+002  0.0000000000000000E+000  -3.8074330833554114E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.9330291205478679E+003   2.9227638207851188E+000   1.3317020694896493E-002  4.0344076438843766E-003  4.6862834126310725E-006  1.7356114622193500E-002
  0.00950000  40  970.89620439820521  6.8415801815977557E+003  4.7109915976246549E+002  7.3126793413602209E+003  -5.4499571089477386E+003  -5.1161244417693872E+001  2.1147096751466131E+002  -1.2867407669047967E+001  1.9860355984561323E+002  2.0101645478404032E+003   1.4959536027090508E+000   -2.1011105680223960E+002  -4.3773272873035107E-007  1.3014606486939599E+003  4.8554348380404655E+001  -1.1638823744420252E+002  0.0000000000000000E+000  -3.8294544665371149E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.0038824838332976E+003   2.9715043649010169E+000   1.3844222569706225E-002  4.1397852524706043E-003  4.8086794558344375E-006  1.7988816501632664E-002
  0.00975000  40  1006.4718755247702  7.1205965131325293E+003  4.6893034197804275E+002  7.5895268551105719E+003  -5.5567754836142067E+003  -5.0994414993733287E+001  2.1098999338447382E+002  -1.2838128853478636E+001  1.9815186453099523E+002  2.1799088210336263E+003   1.4841180694872946E+000   -2.2059839237687902E+002  -4.0945488669629093E-007  1.2976725356557417E+003  4.8415141333657211E+001  -1.1605600788847130E+002  0.0000000000000000E+000  -3.8524707612769873E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.1595324954177026E+003   3.0190495474017962E+000   1.4482079228482990E-002  4.0925201941826852E-003  4.7537811258864362E-006  1.8579353203791560E-002
  0.01000000  40  985.97382891927623  7.0934288896992221E+003  4.6750290267676110E+002  7.5609317923759827E+003  -5.5650903038511206E+003  -5.0883733268098943E+001  2.1067315013640169E+002  -1.2818822055185811E+001  1.9785432808121570E+002  2.1428120833379785E+003   1.4750237600933360E+000   -2.1637085139428558E+002  -3.9591484068622701E-007  1.3176324794767588E+003  4.9148635180196720E+001  -1.1777397035574089E+002  0.0000000000000000E+000  -3.8725832980431250E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.1456296796090814E+003   3.0659940740597045E+000   1.4916967200064923E-002  4.3461841011029701E-003  5.0484113222060001E-006  1.9268199712490098E-002
  0.01025000  40  985.99538867662147  7.1777700535254407E+003  4.6582976912549668E+002  7.6435998226509373E+003  -5.6094415457374716E+003  -5.0751414709390964E+001  2.1030109430166183E+002  -1.2796153803036324E+001  1.9750494049862559E+002  2.1809118027027030E+003   1.4649341596195882E+000   -2.1717846936239991E+002  -3.7509892937916328E-007  1.3286790934239139E+003  4.9554577390884234E+001  -1.1872154542252156E+002  0.0000000000000000E+000  -3.8933467779299647E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.1934166725170958E+003   3.1125058725983776E+000   1.5431530860985950E-002  4.4915409801472147E-003  5.2172428322015245E-006  1.9928289083965364E-002
  0.01050000  40  993.35978262248489  7.3034224721220053E+003  4.6407506319079823E+002  7.7674975353128038E+003  -5.6675091434624483E+003  -5.0610096886610727E+001  2.0991035335638904E+002  -1.2772334232849110E+001  1.9713801912353983E+002  2.2465163140872824E+003   1.4542756007865592E+000   -2.1976265936386019E+002  -3.4517570602470765E-007  1.3363191363370076E+003  4.9835333741351050E+001  -1.1937482771668250E+002  0.0000000000000000E+000  -3.9142018573745247E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.2636938523407048E+003   3.1583325645359728E+000   1.5980422094047160E-002  4.5941839331245958E-003  5.3364621586900581E-006  2.0579942489330448E-002
  0.01075000  40  1047.6660295448230  7.7033073379473699E+003  4.6172702486580073E+002  8.1650343628131704E+003  -5.8170165459796299E+003  -5.0416187084459068E+001  2.0938630176597059E+002  -1.2740386838310512E+001  1.9664591492766016E+002  2.4942475446767426E+003   1.4409931219502141E+000   -2.3485446476114760E+002  -3.1375860592526591E-007  1.3238578558433751E+003  4.9377406181242776E+001  -1.1829520531375216E+002  0.0000000000000000E+000  -3.9370337051266034E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.4844804094346482E+003   3.2034375397854440E+000   1.6724541824666206E-002  4.4276595648988113E-003  5.1430448125761934E-006  2.1157344434377594E-002
  0.01100000  40  1032.3302361292795  7.6997125805482729E+003  4.6029179423070309E+002  8.1600043747789759E+003  -5.8330130096238554E+003  -5.0296805703238249E+001  2.0906561628008106E+002  -1.2720821286998007E+001  1.9634479499308307E+002  2.4730393544449621E+003   1.4315786064644271E+000   -2.3161405993789560E+002  -3.0695762429338622E-007  1.3406218716399051E+003  4.9993450403325468E+001  -1.1973474689013777E+002  0.0000000000000000E+000  -3.9563674675316975E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.4824437279596618E+003   3.2475478268034736E+000   1.7196254805033576E-002  4.6527592472698932E-003  5.4044970833344012E-006  2.1854418549386800E-002
  0.01125000  40  1019.2621822515405  7.7065974061247398E+003  4.5885078376460967E+002  8.1654481898893491E+003  -5.8521687496447603E+003  -5.0175266265131270E+001  2.0874328818411186E+002  -1.2701143614915914E+001  1.9604214456919598E+002  2.4591463185486532E+003   1.4218393590199412E+000   -2.2889407990050600E+002  -3.2613133166811580E-007  1.3564679722761330E+003  5.0575760233768229E+001  -1.2109382165634885E+002  0.0000000000000000E+000  -3.9755708025415274E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.4863302685345839E+003   3.2912817307625875E+000   1.7675543608973450E-002  4.8733215682904944E-003  5.6606788396378089E-006  2.2554525856103583E-002
  0.01150000  40  1016.5926916430353  7.7737553155874875E+003  4.5729160473334406E+002  8.2310469203208322E+003  -5.8914882211570193E+003  -5.0041594992135501E+001  2.0839400129734526E+002  -1.2679817953734554E+001  1.9571418334361081E+002  2.4852312875152852E+003   1.4116451189925101E+000   -2.2874133547775557E+002  -3.1473187882593626E-007  1.3677570064142842E+003  5.0990606123879331E+001  -1.2205959106925202E+002  0.0000000000000000E+000  -3.9949570510381122E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.5232958983106978E+003   3.3345828777496718E+000   1.8200761853173850E-002  5.0351705386240233E-003  5.8486651762769674E-006  2.3241781056974151E-002
  0.01175000  40  1019.8012536867799  7.8760481603877015E+003  4.5566645113381520E+002  8.3317146115215164E+003  -5.9428123447239959E+003  -4.9900147450470634E+001  2.0802938941917384E+002  -1.2657548802038978E+001  1.9537184061713501E+002  2.5343739599641849E+003   1.4009612233621738E+000   -2.3001429605083624E+002  -2.9026565216906764E-007  1.3763298608367736E+003  5.1305637808797734E+001  -1.2279108332549136E+002  0.0000000000000000E+000  -4.0143901606699089E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.5793113201665210E+003   3.3773420324920105E+000   1.8755936764646017E-002  5.1607453696364824E-003  5.9945192511308543E-006  2.3922676653533630E-002
  0.01200000  40  1022.5531575737145  7.9753536088547808E+003  4.5406219833360865E+002  8.4294158071883903E+003  -5.9932576267621407E+003  -4.9758524113617192E+001  2.0766892708724643E+002  -1.2635526104842484E+001  1.9503340098240403E+002  2.5814330572950348E+003   1.3902749633318763E+000   -2.3112573518783341E+002  -2.6757601921251551E-007  1.3849491502328838E+003  5.1622375112558210E+001  -1.2352608296470659E+002  0.0000000000000000E+000  -4.0335731717840787E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.6334493191836873E+003   3.4195459241568784E+000   1.9313114734053016E-002  5.2893535075420458E-003  6.1438963748036534E-006  2.4608612137969867E-002
